time,hs_activations,rapl_delta
63.045705399,439966,761411
63.130902407,441191,752562
63.216099708,442661,752745
63.301296122,444425,761777
63.386493814,446541,753050
63.471689547,449081,762327
63.556888229,452129,753538
63.642083278,455786,762694
63.727280283,460175,754087
63.812477248,465441,763548
63.897674872,471761,764280
63.982871398,479345,764647
64.068068546,488445,774534
64.153265237,499366,766355
64.238462416,512470,776671
64.323659097,528196,778013
64.408856025,547066,779417
64.494052549,569711,790281
64.57924973,596885,801573
64.664446595,629493,804197
64.749643138,668624,807127
64.834840242,715580,829221
64.920036837,771927,842955
65.047832188,839544,1217160
65.175628275,920685,1233151
65.303423036,1018053,1258847
65.431218216,1134896,1295590
65.601612885,1275106,1685420
65.772006533,1158264,1414303
65.942400683,1018053,1384823
66.070195105,1134896,1295651
66.240589145,1275106,1685360
66.410983294,1158264,1423580
66.58137684,1018053,1375729
66.709172772,849801,993283
66.836967449,990011,1298520
66.964763299,1158264,1338925
67.135156379,1360167,1751704
67.305550659,1191915,1376462
67.475944756,990011,1324093
67.603740165,747727,889585
67.731537004,949631,1370846
67.859330386,781378,977781
67.987125107,921588,1291989
68.114921312,804746,1030026
68.242716553,902115,1248166
68.37051223,1018957,1284909
68.498306918,1159168,1314389
68.66870213,1042325,1412655
68.796496652,902115,1013974
68.924291812,733862,973203
69.052087602,874073,1287290
69.179882491,757230,1025143
69.307678554,854599,1243589
69.435473235,773459,1069333
69.563269607,841076,1217648
69.69106457,784728,1077512
69.818859604,831684,1200253
69.946654428,792554,1104123
70.074449946,825163,1173459
70.202245867,797989,1121335
70.33004106,820634,1173825
70.457836397,801763,1130552
70.585631531,817489,1156430
70.713427463,836359,1166867
70.841222509,820634,1131833
70.969018211,833738,1157651
71.096813522,822818,1140744
71.224608202,831918,1157773
71.352403288,842839,1158932
71.480199885,833738,1132505
71.607994376,822818,1140561
71.735790556,831918,1158017
71.863585349,824334,1140439
71.991380237,815234,1130734
72.119175438,822818,1157163
72.246971741,831918,1158383
72.374767167,842839,1159177
72.502562579,855943,1160153
72.630357673,845023,1142820
72.758152779,854123,1160336
72.885949726,865044,1160947
73.013743669,878148,1161984
73.141538863,867228,1145322
73.269334521,876328,1152951
73.397129812,868745,1144223
73.524926207,859644,1144101
73.65272142,848724,1143003
73.780515596,857824,1160336
73.908311757,850240,1133908
74.03610638,856560,1160764
74.163902136,851294,1143002
74.291697319,855682,1151487
74.419492537,852025,1151669
74.547288707,855073,1151669
74.675083632,852533,1143003
74.802878688,854650,1160764
74.930675175,852886,1142636
75.058469223,850769,1151852
75.186265984,848230,1142392
75.314060727,845182,1151181
75.441855384,841525,1142148
75.569650722,837136,1141599
75.697446241,840793,1159604
75.825241253,845182,1150876
75.953036434,850448,1150998
76.080832323,846060,1142087
76.208627469,840793,1141843
76.336422279,834473,1150265
76.464218571,826890,1140928
76.592013658,833209,1149411
76.719809841,840793,1159115
76.847604563,849894,1159910
76.975399779,842310,1142636
77.103195307,833209,1132199
77.230990463,822289,1140866
77.358786374,809184,1130491
77.486581524,820105,1156552
77.614377125,833209,1166989
77.742172637,822289,1131833
77.869967576,831389,1158139
77.99776271,842310,1158750
78.125558789,833209,1141476
78.253353407,840793,1149716
78.381148651,834473,1150571
78.508944121,826890,1131833
78.636740087,817789,1140012
78.76453524,825373,1157529
78.89233017,819053,1139950
79.020125549,824320,1148374
79.147921377,830639,1158017
79.275716667,838223,1149472
79.403511454,831903,1150449
79.531306705,824320,1131284
79.659102296,830639,1158078
79.786898287,825373,1140256
